row_count,column_count,write_pd,write_spark,drop_na_pd,drop_na_spark,fill_na_pd,fill_na_spark,group_pd,group_spark,group_sum_pd,group_sum_spark,group_count_pd,group_count_spark,filter_less_0_pd,filter_less_0_spark,filter_less_10_pd,filter_less_10_spark,mul_build_pd,mul_build_spark,mul_col_pd,mul_col_spark,join_pd,join_spark,read_pd,read_spark
50000,20,189677898.4,259573785.6,5795972.75,6358437.81,4547415.88,8495741.22,101126.41,2283430.48,37244345.1,7784777.166666667,19681970.4,4130912.433333333,2202898.34,4985359.62,459631.72,1829848.78,661935.8,4146328.8,387833.782,2596562.722,27561296242.666668,16109993.666666666,167056417.0,252459030.8
100000,20,341771946.4,357864023.2,9193314.85,6778076.87,9548319.36,10170539.48,104306.63,2512113.47,55642868.833333336,7131338.5,37900490.766666666,4124228.133333333,3374753.86,5191912.68,364997.54,1146286.0,1158330.2,10573752.4,475440.428,2459215.78,113989113744.0,115629428.33333331,303787705.4,259922042.2
150000,20,500124770.6,303551535.2,11671438.63,6260058.07,14469311.72,8615280.26,71406.56,1865174.29,93088641.0,7693051.733333333,65244508.3,5469081.533333333,4050950.96,1782676.24,433183.26,1213234.28,1106263.4,4843243.4,644104.448,2625507.312,,,438035746.2,353496322.6
200000,20,656673290.6,370644646.6,13635920.25,6067318.25,19866884.16,9368529.5,75653.88,1857679.77,151169204.73333332,8958834.166666666,94030600.8,4970600.966666667,6704989.38,3163468.94,467317.42,1279233.76,1443638.0,4229848.6,987017.922,2991955.686,,,617873708.2,374002571.8
250000,20,809116713.8,483191275.4,16335186.39,6060337.35,22726467.04,8323331.9,62483.0,1729087.87,178188898.73333332,8647101.366666667,115155059.96666668,4861288.4,7740212.98,3025567.42,416727.96,1069456.64,1503186.4,3874755.2,1022703.312,2690336.146,,,754248402.6,428623966.6
300000,20,960250172.8,512254281.8,19150463.19,5893927.55,30754097.26,9648849.16,76560.93,2132258.7,213090772.8333333,8598374.866666667,137516758.93333334,4734649.533333333,9690586.88,3427130.12,506183.86,1190448.66,2938762.2,3635324.6,1992079.486,3606589.886,,,895138232.6,473811644.8
350000,20,1128231355.6,544036027.0,20616659.85,5665760.37,31847854.0,8439412.78,64065.83,1739455.28,269693850.23333335,8988828.9,158625013.3,4669516.333333333,15465673.9,4496724.86,509741.24,1142968.1,3270583.4,4418654.8,3294478.53,4198646.388,,,1215613299.0,556134102.4
400000,20,1290158065.2,595223731.2,23350853.88,6012408.72,38142714.26,8434447.34,78231.02,2035014.9,293497619.93333334,9009165.7,181201254.8,4588490.566666666,13590551.76,3892398.92,509911.06,1078742.1,4054616.6,4168727.2,2989858.918,3783453.128,,,1149065837.8,562883348.2
450000,20,1629941249.2,764790614.8,18858786.55,5133680.04,40207868.54,8188737.86,59666.36,1670603.66,338269081.8333333,8897725.3,193068216.9333333,4494753.866666666,13601825.66,3602562.22,573767.94,1161642.34,3868680.8,4000968.0,3458676.538,3217777.31,,,1346425284.2,597054805.2
500000,20,1897943145.8,721414173.4,20341543.09,4797316.32,45146944.84,7934189.38,75269.54,1869132.94,370817888.4,8556125.466666667,217009837.76666668,5113978.1,15388302.38,3929820.1,627110.36,1197827.66,4600864.2,4149846.4,2953665.802,2933145.554,,,1441342917.4,698903685.0
550000,20,1867597000.8,817507510.2,22349956.0,4798062.51,49090396.68,7806343.32,60991.28,1887232.32,408952656.0,8818398.866666667,222307670.0,4417142.766666667,16328007.74,3995886.0,771673.8,1406614.56,4814317.8,4198793.0,4003536.396,3463044.7,,,1890558145.4,861473742.2
600000,20,2203787921.2,869066387.4,25890411.84,4865817.36,54150314.26,7946261.92,74441.27,2042700.27,458913089.56666666,8923397.433333334,245086954.7,4606840.033333333,18264723.96,4454443.6,1099897.88,1881474.74,6023955.6,4540399.4,4408137.974,3736485.582,,,1832052623.0,773349629.8
650000,20,2260878147.8,917783512.2,30476334.18,5190112.32,59177179.52,7979162.12,74898.65,2017453.07,488489978.1666667,8552476.766666668,274515315.8333333,4740587.333333333,20114925.44,4392803.66,1232382.28,2219554.04,5985224.2,3630382.6,4488356.042,3421947.54,,,1918191023.4,869661096.8
700000,20,2649704911.6,917451063.8,33933836.89,5438017.04,75061301.54,9386236.78,89737.62,2093776.63,530108773.6333333,8834231.666666666,349738521.96666664,5653190.833333333,26373821.94,5625571.12,1375404.52,2194277.64,4558309.6,3553076.6,5134371.39,3996928.826,,,2096711134.6,881360357.0
750000,20,2825051780.6,958636781.8,35950223.14,5336575.62,72097428.86,8314516.06,65761.79,1882672.91,553143580.7,8923053.933333334,356764607.6333333,4760983.633333334,28736207.06,5523521.2,1479218.26,2318988.44,7825000.0,3663759.6,4867118.452,3496480.5,,,2521436027.0,1029361503.6
800000,20,2956765770.0,1008376435.2,39472488.03,5629357.11,71978231.34,7757662.5,67924.43,1746537.23,573182363.8333334,9684720.033333331,354677441.6666667,4679215.3,34940576.36,6092574.18,1013983.14,1535970.24,7101110.6,4048173.4,5465674.648,3933559.868,,,2706047413.4,1061985405.2
850000,20,3205604756.0,1079653153.0,41139249.47,5582689.96,74095720.14,7491920.72,61040.12,1872945.6,652047010.0333333,8466125.9,389954875.7,4741560.033333333,29908313.36,5633304.94,832674.66,1175411.62,8659145.2,4399950.6,5403941.448,3509863.994,,,2847131599.0,1042998299.4
900000,20,3392750435.4,1077898863.6,43626428.96,5443255.78,80173735.48,7779296.36,71305.09,1999480.95,673592922.5666667,8321388.533333333,457208890.9666666,4995570.833333333,29724433.16,6019614.26,862747.34,1145758.02,8190754.2,4376357.6,5797950.272,3672710.716,,,3330274978.8,1216767399.0
950000,20,3570755996.2,1171376978.4,50243720.71,5693000.33,87942087.6,7860733.46,64340.08,1679225.95,715753942.2666667,8462454.533333333,427770994.4666666,4681332.8,32302288.68,5912467.44,908323.4,1664905.88,9917936.6,5571982.8,5503274.194,3660951.668,,,3100227403.2,1132736320.0
1000000,20,3707585169.4,1206385461.0,51201952.26,5804476.63,90616386.06,7519203.42,67765.64,1861609.79,750524010.2666667,8388843.9,440554831.2,4575620.233333333,32112572.8,5829823.06,954538.84,1165958.58,10905204.4,5085166.2,6241832.118,3717331.752,,,3065237680.6,1162022977.6
